Palabra
a
su
abril
además
agosto
ahí
ahora
al
ante
antes
aquel
así
aspecto
aún
aunque
cerca
como
con
contra
dado
de
de
delante
demás
dentro
desde
después
detrás
diciembre
dio
domingo
durante
el
en
encima
ende
enero
enfrente
entre
esa
esas
eso
esos
esta
está
estas
este
éste
esto
estos
favor
febrero
fuera
hace
hacia
hasta
hay
he
hoy
igual
jueves
julio
junio
la
las
lejos
lo
los
lunes
martes
marzo
más
mayo
mientras
miércoles 
mismo
modo
muy
ni
noviembre
obstante
octubre
otra
otro
para
parte
pero
pesar
por
pues
que
sabádo
según
septiembre
ser
será
si
sí
sin
sino
sobre
sobretodo
sola
solo
sólo
son
tanto
tras
través
un
una
unas
unos
vez
vía
viernes
y
ya
